file,dt,tz,model,lat,lon,alt,dir,w,h,focal,eq35,zoom,lens
IMG_3478.HEIC,2026:09:20 15:11:48,-04:00,iPhone 17,40.215625,-74.00670555555556,4.260372161999929,309.0246887075998,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3479.HEIC,2026:09:20 15:11:54,-04:00,iPhone 17,40.215675000000005,-74.00672777777778,4.487575530051128,308.4081115335868,3024,4032,5.960000038146973,119,2.305,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3480.HEIC,2026:09:20 15:12:16,-04:00,iPhone 17,40.215611111111116,-74.00691944444445,3.7009239516702204,348.0722347629797,3024,4032,5.960000038146973,119,2.305,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3481.HEIC,2026:09:20 15:12:19,-04:00,iPhone 17,40.215625,-74.00690555555556,5.705597859641902,347.3832092078538,3024,4032,5.960000038146973,272,5.25,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3482.HEIC,2026:09:20 15:12:24,-04:00,iPhone 17,40.215630555555556,-74.00690555555556,5.557919822963656,345.58447265625,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3483.HEIC,2026:09:20 15:13:19,-04:00,iPhone 17,40.21561944444445,-74.00689722222222,2.30331039332898,348.708984375,3024,4032,5.960000038146973,173,3.338,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3484.HEIC,2026:09:20 15:14:08,-04:00,iPhone 17,40.21561388888889,-74.00691944444445,2.9166526775222428,16.50276183255713,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3485.HEIC,2026:09:20 15:14:10,-04:00,iPhone 17,40.21561388888889,-74.00691111111111,2.387081146548244,298.5516969218627,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3486.HEIC,2026:09:20 15:14:12,-04:00,iPhone 17,40.21561944444445,-74.00691111111111,2.304103852596315,285.0516556291391,5712,4284,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
IMG_3487.HEIC,2026:09:20 15:14:17,-04:00,iPhone 17,40.21561388888889,-74.00690555555556,2.495876312343495,323.05874630784376,4284,5712,5.960000038146973,26,,iPhone 17 back dual wide camera 5.96mm f/1.6
